"Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","Version","Commit","Message","Date","DeltaMethods","DeltaUnstable"
"DistributionsAD",133,9,90,4,14,1,6,2,7,"DistributionsAD@0.6.19","b02658f","CompatHelper: bump compat for ""PDMats"" to ""0.11"" (#153)","2021-03-04 07:28:00 +0100",0,1
"DistributionsAD",126,11,87,3,14,1,2,2,6,"DistributionsAD@0.6.39","ddaadc8","CompatHelper: bump compat for StatsFuns to 1, (keep existing compat) (#220)","2022-05-09 09:56:16 +0200",0,-1
