"Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","Version","Commit","Message","Date","DeltaMethods","DeltaUnstable"
"FunSQL",33,7,0,1,15,10,0,0,0,"FunSQL@0.1.0","d35296e","added tests for SQL clauses","2021-03-26 23:02:26 -0500",0,-1
"FunSQL",346,105,2,6,161,70,2,0,0,"FunSQL@0.5.1","9ffdbd8","eliminate WHERE TRUE","2021-05-24 00:27:34 -0500",0,1
"FunSQL",400,118,6,8,184,82,2,0,0,"FunSQL@0.7.0","11f9f44","Why FunSQL","2021-08-20 20:14:38 +0300",0,2
"FunSQL",557,131,11,5,293,112,5,0,0,"FunSQL@0.9.2","849c446","allow any dictionary as render cache","2022-01-14 16:03:32 +0200",0,1
