"Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","Version","Commit","Message","Date","DeltaMethods","DeltaUnstable"
"SpecialFunctions",438,293,91,10,15,0,19,0,10,"SpecialFunctions@0.10.0","10ad004","fix gamma_inc max precision (#210)","2020-03-09 14:44:38 -0400",0,-15
"SpecialFunctions",522,326,110,21,21,0,32,0,12,"SpecialFunctions@1.5.1","42bb273","fix type-instability of logabsbeta (#332)","2021-07-02 20:52:37 -0400",0,-2
"SpecialFunctions",522,326,87,7,21,0,32,0,49,"SpecialFunctions@1.6.1","a3b30a9","allow LogExpFunctions 0.3 in compat (#340)","2021-08-10 17:04:27 +0200",0,-14
"SpecialFunctions",506,309,82,7,20,0,37,0,51,"SpecialFunctions@2.2.0","22b9fa1","Merge pull request #425 from JuliaMath/dw/irrationalconstants","2023-02-22 11:15:30 +0100",0,-14
