pack,modl,tyname,occurs,depth
JuMP,MathOptInterface,MathOptInterface.PrimalStatus,11,14
JuMP,MathOptInterface,MathOptInterface.ObjectiveValue,11,14
JuMP,MathOptInterface,MathOptInterface.DualStatus,11,13
JuMP,MathOptInterface,MathOptInterface.DualObjectiveValue,1,12
DifferentialEquations,Core,Bool,25466,11
JuMP,MathOptInterface,MathOptInterface.TerminationStatus,11,11
DifferentialEquations,OrdinaryDiffEq,OrdinaryDiffEq.OrdinaryDiffEqTag,3839,10
DifferentialEquations,Core,Float64,219192,10
DifferentialEquations,LinearAlgebra,LinearAlgebra.UniformScaling{Bool},21437,10
DifferentialEquations,SciMLBase,SciMLBase.AutoSpecialize,16009,10
DifferentialEquations,SciMLBase,typeof(SciMLBase.DEFAULT_OBSERVED),21798,10
DifferentialEquations,Core,Int64,42132,10
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.var""#lorenz#583""",12390,10
DifferentialEquations,Core,Nothing,356045,10
JuMP,MathOptInterface,MathOptInterface.SolveTime,1,10
DifferentialEquations,ForwardDiff,"ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}",3839,9
DifferentialEquations,Base,UnitRange{Int64},6202,9
DifferentialEquations,SciMLBase,SciMLBase.NullParameters,14020,9
DifferentialEquations,Core,"Tuple{Float64, Float64, Float64}",1461,9
DifferentialEquations,Core,Vector{Float64},65694,9
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",12389,9
JuMP,MathOptInterface,MathOptInterface.SimplexIterations,1,9
DifferentialEquations,Base.MPFR,BigFloat,12411,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#3#4""",4424,8
DifferentialEquations,Core,"Vector{Tuple{Float64, Float64, Float64}}",1461,8
DifferentialEquations,FiniteDiff,"FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}",2489,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#1#2""",4423,8
DifferentialEquations,SciMLBase,"SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}",3976,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#5#6""",3410,8
DifferentialEquations,Base,Rational{Int64},25793,8
DifferentialEquations,SciMLBase,SciMLBase.FullSpecialize,5781,8
DifferentialEquations,ForwardDiff,"ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}",2924,8
DifferentialEquations,DiffEqBase,DefaultLinSolve,18495,8
DifferentialEquations,Core,Matrix{Float64},39271,8
Gadfly,Core,UInt8,775,8
Gadfly,Core,Unsigned,5,8
JuMP,MathOptInterface,MathOptInterface.ResultCount,2,8
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",3408,7
DifferentialEquations,Core,Matrix{BigFloat},8701,7
DifferentialEquations,Core,"Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}",2924,7
DifferentialEquations,ForwardDiff,"ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}",915,7
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",4421,7
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, DefaultLinSolve}",1442,7
DifferentialEquations,Core,"Vector{Vector{Tuple{Float64, Float64, Float64}}}",1461,7
DifferentialEquations,DiffEqBase,"NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}",5541,7
DifferentialEquations,Core,"Tuple{Float64, Float64}",5130,7
Gadfly,Core,Float64,4191,7
Gadfly,FixedPointNumbers,FixedPointNumbers.N0f8,539,7
Gadfly,Core,Int64,4065,7
Gadfly,Core,Float32,661,7
Gadfly,Base,Missing,79,7
Gadfly,Core,Symbol,3944,7
JuMP,MathOptInterface,MathOptInterface.Semicontinuous{T},1,7
JuMP,MathOptInterface,MathOptInterface.RawSolver,2,7
JuMP,MathOptInterface,MathOptInterface.RelativeGap,1,7
JuMP,MathOptInterface,MathOptInterface.Semiinteger{T},1,7
Plots,Core,Float64,2076,7
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Tsit5ConstantCache{Float64, Float64}",1225,6
DifferentialEquations,FiniteDiff,"FiniteDiff.JacobianCache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, UnitRange{Int64}, Nothing, Val{:forward}(), BigFloat}",500,6
DifferentialEquations,SciMLBase,"SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{BigFloat}, SciMLBase.NullParameters}",498,6
DifferentialEquations,SparseDiffTools,"SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}",1461,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.RodasTableau{Float64, Float64}",1248,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.NLSolver{NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, true, Vector{Float64}, Float64, Nothing, Float64, OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, DefaultLinSolve}}",1412,6
DifferentialEquations,OrdinaryDiffEq,OrdinaryDiffEq.Rosenbrock23Tableau{Float64},1457,6
DifferentialEquations,FiniteDiff,"FiniteDiff.JacobianCache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}",1748,6
DifferentialEquations,Core,"Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}",914,6
DifferentialEquations,Base.Broadcast,Base.Broadcast.DefaultArrayStyle{0},42,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.TRBDF2Tableau{Float64, Float64}",757,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.KenCarp47Tableau{Float64, Float64}",347,6
DifferentialEquations,SciMLBase,"SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{Float64}, Float64}",1272,6
DifferentialEquations,SciMLBase,"SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}",974,6
DifferentialEquations,SciMLBase,"SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}",1935,6
DifferentialEquations,FiniteDiff,"FiniteDiff.GradientCache{Nothing, Matrix{BigFloat}, Matrix{BigFloat}, Float64, Val{:forward}(), BigFloat, Val{true}()}",496,6
DifferentialEquations,RecursiveArrayTools,"ArrayPartition{Float64, Tuple{Float64, Float64}}",925,6
DifferentialEquations,FiniteDiff,"FiniteDiff.GradientCache{Nothing, Vector{Float64}, Vector{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}",1015,6
DifferentialEquations,OrdinaryDiffEq,typeof(OrdinaryDiffEq.trivial_limiter!),9744,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9Tableau{BigFloat, Float64}",366,6
DifferentialEquations,FiniteDiff,"FiniteDiff.GradientCache{Nothing, Matrix{Float64}, Matrix{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}",1734,6
DifferentialEquations,Static,Static.False,4889,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern7Tableau{Float64, Float64}",1209,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rodas5Tableau{BigFloat, Float64}",316,6
DifferentialEquations,SciMLBase,"SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, Float64}",1281,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9Tableau{Float64, Float64}",1055,6
DifferentialEquations,Base,Val{:forward},12342,6
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}",1038,6
Gadfly,ColorTypes,ColorTypes.RGB{Float32},244,6
Gadfly,Core,Signed,6,6
Gadfly,Unitful,"Unitful.FreeUnits{(m, s^-1), 𝐋 𝐓^-1, nothing}",77,6
Gadfly,Unitful,"Unitful.FreeUnits{(m,), 𝐋, nothing}",79,6
Gadfly,Unitful,"Unitful.FreeUnits{(s,), 𝐓, nothing}",96,6
Gadfly,ColorTypes,ColorTypes.RGB{FixedPointNumbers.N0f8},536,6
Gadfly,ColorTypes,ColorTypes.RGBA{Float32},191,6
Gadfly,Distributions,Distributions.Continuous,8,6
Gadfly,Measures,Measures.AbsoluteLength,1482,6
Gadfly,Distributions,Distributions.Univariate,8,6
Gen,Core,Any,1294,6
JuMP,MathOptInterface,MathOptInterface.RawStatusString,1,6
JuMP,MathOptInterface,MathOptInterface.ObjectiveFunctionType,3,6
JuMP,MathOptInterface,MathOptInterface.LessThan{T},1,6
Plots,Measures,"Measures.Length{:w, Float64}",22,6
Plots,Core,UInt8,630,6
Plots,Measures,"Measures.Length{:h, Float64}",22,6
Pluto,Core,UInt8,104,6
Pluto,Main.workspace8,Main.workspace8.A,62,6
DifferentialEquations,OrdinaryDiffEq,"Rodas4{0, false, DefaultLinSolve, Val{:forward}, true}",1953,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9Cache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Vern9Tableau{Float64, Float64}}",268,5
DifferentialEquations,Base,typeof(-),10,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rosenbrock23Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rosenbrock23Tableau{Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, FiniteDiff.GradientCache{Nothing, Vector{Float64}, Vector{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}}",264,5
DifferentialEquations,"Main.var""##313""","typeof(Main.var""##313"".mass_system!)",329,5
DifferentialEquations,OrdinaryDiffEq,Vern7,3227,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9Cache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, OrdinaryDiffEq.Vern9Tableau{BigFloat, Float64}}",258,5
DifferentialEquations,OrdinaryDiffEq,"Tsit5{typeof(OrdinaryDiffEq.trivial_limiter!), typeof(OrdinaryDiffEq.trivial_limiter!), Static.False}",3302,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.KenCarp47Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.NLSolver{NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, true, Vector{Float64}, Float64, Nothing, Float64, OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, DefaultLinSolve}}, OrdinaryDiffEq.KenCarp47Tableau{Float64, Float64}, Nothing}",272,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rosenbrock23Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rosenbrock23Tableau{Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}}",460,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rosenbrock5Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}}",449,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.Vern9Tableau{Float64, Float64}}",679,5
DifferentialEquations,Core,"Tuple{ArrayPartition{Float64, Tuple{Float64, Float64}}, ArrayPartition{Float64, Tuple{Float64, Float64}}}",20,5
DifferentialEquations,OrdinaryDiffEq,"Rodas5{0, false, DefaultLinSolve, Val{:forward}, true}",2004,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rodas4Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.RodasTableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, FiniteDiff.GradientCache{Nothing, Vector{Float64}, Vector{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}}",482,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Tsit5Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.Tsit5ConstantCache{Float64, Float64}, typeof(OrdinaryDiffEq.trivial_limiter!), typeof(OrdinaryDiffEq.trivial_limiter!), Static.False}",905,5
DifferentialEquations,SciMLBase,"SciMLBase.var""#276#278""",352,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rosenbrock5Cache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, OrdinaryDiffEq.Rodas5Tableau{BigFloat, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{BigFloat}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, UnitRange{Int64}, Nothing, Val{:forward}(), BigFloat}, FiniteDiff.GradientCache{Nothing, Matrix{BigFloat}, Matrix{BigFloat}, Float64, Val{:forward}(), BigFloat, Val{true}()}}",263,5
DifferentialEquations,Core,Tuple{},24494,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, DefaultLinSolve}",545,5
DifferentialEquations,OrdinaryDiffEq,Vern9,3237,5
DifferentialEquations,Core,Tuple{5},486,5
DifferentialEquations,RecursiveArrayTools,RecursiveArrayTools.ArrayPartitionStyle{Base.Broadcast.DefaultArrayStyle{0}},42,5
DifferentialEquations,OrdinaryDiffEq,"Rosenbrock23{0, false, DefaultLinSolve, Val{:forward}, true}",1772,5
DifferentialEquations,OrdinaryDiffEq,"KenCarp47{0, false, DefaultLinSolve, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, Val{:forward}, true}",525,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Rosenbrock5Cache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{Float64}, Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, Float64}, DefaultLinSolve, FiniteDiff.JacobianCache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, FiniteDiff.GradientCache{Nothing, Matrix{Float64}, Matrix{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}}",273,5
DifferentialEquations,OrdinaryDiffEq,"Rosenbrock23{0, true, DefaultLinSolve, Val{:forward}, true}",477,5
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern7Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.Vern7Tableau{Float64, Float64}}",891,5
